# Stockfish 19, depth 10, Threads 1, White-point-of-view centipawns clipped to +-1500
fen,cp
1r2rk2/1b1q1p2/p2p1b1N/2pPp2p/R1N5/1PP3P1/1B1QRP2/6K1 w - - 1 35,567
1r2rk2/1b1q1p2/p2p1b1N/2pPp2p/R1N5/1PP2PP1/1B1QR3/6K1 b - - 0 35,534
1rb1qk2/5p2/p2p1b1N/2pPp2p/8/RPP2PP1/1B1QR3/6K1 b - - 1 38,560
1rb1qk2/5p2/p2p1b1N/2pPp3/7p/RPP2PP1/1B1QR3/6K1 w - - 0 39,713
1rb1qk2/5p2/p2p3N/2pPp3/7b/RPP2P2/1B1QR3/6K1 w - - 0 40,760
1rb2k2/3q1p2/p2p3N/2pPp3/7b/RPP2P2/1B1Q2R1/6K1 w - - 2 41,872
1rb5/q3kp2/p2p3N/3Pp3/7R/RpP2P2/1B1Q4/5K2 w - - 0 45,954
1r6/q5k1/p2Q4/3Pp3/7R/RpP2P2/1B6/5K2 b - - 0 49,1251
8/q7/pr4k1/3PQ3/7R/RpP2P2/1B6/5K2 w - - 1 51,1380
8/q6k/pr6/3PQ3/6R1/RpP2P2/1B6/5K2 w - - 3 52,1500
r2q1rk1/1b2bppp/p2p1n2/2p1p3/1p2P3/1P1PRN1P/1PP1NPP1/R1BQ2K1 w - - 0 14,-18
r2qr1k1/1b2bppp/p2p1n2/2p1p3/1pP1P3/1P1PRN1P/1P1BNPP1/R2Q2K1 b - - 2 15,-123
r3r1k1/1b1qbppp/p2p1n2/2p1p3/1pP1P3/1P1PRNNP/1P1B1PP1/R2Q2K1 b - - 4 16,-54
r3r1k1/1b1qbp1p/p2p1np1/2p1p3/1pP1P3/1P1PRNNP/1PQB1PP1/R5K1 b - - 1 17,-104
3rr1k1/1b1qbp1p/p2p1np1/2p1p3/1pP1P3/1P1P1NNP/1PQBRPP1/R5K1 b - - 3 18,-71
3rr1k1/1bq1bp1p/p2p1np1/2p1p3/1pP1P3/1P1P1N1P/1PQBRPP1/R4NK1 b - - 5 19,-63
3rr1k1/1bq1bp1p/3p1np1/p1p1p3/1pP1P3/1P1PNN1P/1PQBRPP1/R5K1 b - - 1 20,-37
3rr1k1/2q1bp1p/2bp1np1/p1p1p3/1pP1P3/1P1PNN1P/1PQBRPP1/R5K1 w - - 2 21,-19
3r2k1/2q1rp1p/2bp1np1/p1p1p3/1pP1P3/1P1P1N1P/1PQBRPP1/R5K1 w - - 4 25,56
3r2k1/2q1rp1p/2bp1np1/p1p1p1B1/1pP1P3/1P1P1N1P/1PQ1RPP1/R5K1 b - - 5 25,48
3r2k1/2q2p1p/2bprnpB/p1p1p3/1pP1P3/1P1P1N1P/1PQ1RPP1/R5K1 b - - 7 26,7
4r3/2q1rpkp/2bp1np1/p1p1p1B1/1pP1P3/1P1P1N1P/1PQ1RPP1/5RK1 b - - 13 29,5
7r/3qrpk1/2bp2p1/p1p1p1P1/1pP1P3/1P1P4/1PQ1RP1N/5RK1 w - - 3 35,-45
7r/3qrpk1/2bp2p1/p1p1p1P1/1pP1P3/1P1P4/1PQ1RP1N/R5K1 b - - 4 35,-413
r7/4rpk1/2bp2p1/p1p1p1P1/1pP1P3/1P1P1P1q/1PQ1R2N/R5K1 w - - 1 37,-90
r7/4rpk1/2bp2p1/p1p1p1P1/1pP1P3/1P1P1P1q/1PQ2R1N/R5K1 b - - 2 37,-138
r4k2/4rp2/2bp1Np1/p1p1p1P1/1pP1Pq2/1P1P1P2/1P1Q1R2/R4K2 b - - 10 41,59
8/5pk1/3p1Np1/2p1p1P1/bpP1P3/3P1P2/1P6/5K2 w - - 0 50,17
8/5pk1/3p1Np1/2p1p1P1/b1P1P3/1p1P1P2/1P3K2/8 w - - 0 51,186
2N5/5pk1/2bp2p1/2p1p1P1/2P1P3/1pKP1P2/1P6/8 b - - 11 56,237
8/6k1/2bN1pp1/2p1p1P1/2P1P3/1pKP1P2/1P6/8 b - - 0 57,247
8/6k1/2b3p1/2N1p1p1/2PPP3/1pK2P2/1P6/8 b - - 0 60,486
7k/8/2b3p1/6p1/2PKP3/1N3P2/1P6/8 b - - 0 62,580
8/6k1/2b3p1/2N3p1/2PKP3/5P2/1P6/8 b - - 2 63,612
8/5k2/2b3p1/2N3p1/2PKP3/5P2/1P6/8 w - - 3 64,645
8/8/2b2kp1/2N3p1/1PPKP3/5P2/8/8 w - - 1 65,649
b7/8/1P3kp1/2N3p1/2PKP3/5P2/8/8 b - - 0 66,617
8/1N6/2P5/6p1/3KP2k/8/8/8 w - - 1 72,822
8/1N6/8/4P3/3K4/5Qpk/8/8 w - - 2 77,881
8/1N6/4P3/8/3K4/5Qp1/7k/8 w - - 1 78,1500
r2q1rk1/1b2bppp/p1pp1n2/1p2p3/4P3/1PNP1N1P/1PP2PP1/R1BQR1K1 b - - 0 13,-42
r3r1k1/1b1qbppp/p1pp1n2/4p3/1p2P3/1P1PBN1P/1PPQNPP1/R3R1K1 b - - 5 16,-26
r3r1k1/1b1qbp1p/p2p1np1/2p1p3/1p2P3/1P1PBNNP/1PPQ1PP1/R3R1K1 w - - 0 18,13
r3r1k1/1b1qbp1p/p2p1np1/2p1p3/1pP1P3/1P1PBNNP/1P1Q1PP1/R3R1K1 b - c3 0 18,-52
3rr1k1/1b1qbp2/p2p1np1/2p1p2p/1pP1P3/1P1PBN1P/1P1QNPP1/R3R1K1 w - - 0 20,-66
3r2k1/1b1qrpb1/p2p1np1/2p1p2p/1pP1P3/1P1PBN1P/1P1QNPP1/R3R1K1 b - - 7 23,-68
4r1k1/1b1qrpb1/p2p1np1/2p1p2p/1pP1P3/1P1PBN1P/1P1QNPP1/R3R1K1 w - - 8 24,-34
4r1k1/1b1qrpb1/p2p1np1/2p1p2p/1pP1P3/1P1PBNNP/1P1Q1PP1/R3R1K1 b - - 9 24,-74
2b1r1k1/3qrpb1/p2p1np1/2p1p2p/1pP1P3/1P1PBNNP/1P1Q1PP1/R3R1K1 w - - 10 25,-23
2b1r1k1/3qrpb1/p2p1np1/2p1p2p/1pP1P3/1P1PBN1P/1P1QNPP1/R3R1K1 b - - 11 25,-75
3r2k1/1b1qrpb1/p2p1np1/2p1p2p/1pP1P2P/1P1PBN2/1P1QNPP1/R3R1K1 w - - 1 27,-62
3r2k1/1b1qrpb1/p2p1np1/2p1p2p/1pP1P2P/1P1PBNP1/1P1QNP2/R3R1K1 b - - 0 27,-223
3r2k1/1b2rpb1/p2p1np1/2p1p2p/1pP1P1qP/1P1PBNP1/1P1QNP2/R3R1K1 w - - 1 28,-110
3r2k1/1b2rpb1/p2p1np1/2p1p1Np/1pP1P1qP/1P1PB1P1/1P1QNP2/R3R1K1 b - - 2 28,-117
2q1r1k1/1b2rpb1/p2p1np1/2p1p1Np/1pP1P2P/1P1PBPP1/1P1QN3/R3R1K1 w - - 1 30,-64
2q1r1k1/4rpb1/p1bp1np1/2p1p1Np/1pP1P2P/1P1PBPP1/1P1QN3/R3R1K1 b - - 4 31,-101
3r2k1/1q2rpb1/p1bp1np1/2p1p1Np/1pP1P2P/1P1PBPP1/1PQ1N3/R3R1K1 w - - 7 33,-62
3r2k1/1q2rpb1/p1bp1np1/2p1p1Np/1pP1P2P/1P1PBPP1/1P2N3/RQ2R1K1 b - - 8 33,-102
6k1/1q1rrpb1/p1bp1np1/2p1p1Np/1pP1P2P/1P1PBPP1/QP2N3/R3R1K1 b - - 10 34,-96
q5k1/3r1rb1/p1bp1np1/2p1p1Bp/1pP1P2P/1P1P1PP1/QP2N3/R3R1K1 b - - 1 36,-708
q5k1/r4rb1/p1bp1np1/2p1p1Bp/1pP1P2P/1P1P1PP1/QP2N3/R3R1K1 w - - 2 37,-709
q5k1/r4rb1/p1bp1np1/2p1p1Bp/1pP1P2P/1P1P1PP1/QP2N3/R2R2K1 b - - 3 37,-795
1q4k1/r4rb1/p1bp1np1/2p1p2p/1pP1P2P/1P1PBPP1/QP2N3/R2R2K1 b - - 5 38,-782
6k1/r1q2rb1/p1bp1np1/2p1p2p/1pP1P2P/1P1PBPP1/QP2N3/R2R2K1 w - - 6 39,-654
6k1/r1q2rb1/p1bpN1p1/2p4p/1pP1P1nP/1P1PB1P1/QP6/R2R2K1 b - - 2 41,-719
6k1/r3qrN1/p1bp2p1/2p4p/1pP1P2P/1P1Pn1P1/QP6/R2R2K1 w - - 0 43,-696
6k1/r3qr2/p1bp2p1/2p4N/1pP1P2P/1P1P2P1/QP6/R3n1K1 w - - 0 45,-973
6k1/3rqr2/p1bp4/2p4p/1pP1P2P/1P1P2P1/1P6/1Q2R1K1 w - - 2 47,-867
r2q1rk1/2pbbppp/p1np1n2/1p2p3/P2PP3/1BP2N2/1P3PPP/RNBQR1K1 b - - 0 10,46
r2qr1k1/2pbbppp/p1np1n2/1p2p3/P2PP3/1BP2N2/1P3PPP/RNBQR1K1 w - - 1 11,101
r2qr1k1/2pbbppp/p1np1n2/1p1Pp3/P3P3/1BP2N2/1P3PPP/RNBQR1K1 b - - 0 11,-1
r2qr1k1/2pbbppp/p2p1n2/np1Pp3/P3P3/1BP2N2/1P3PPP/RNBQR1K1 w - - 1 12,7
r2qr1k1/1npbbppp/p2p1n2/1p1Pp3/P3P3/2P2N2/1PB2PPP/RNBQR1K1 w - - 3 13,38
r2qr1k1/1npbbppp/p2p1n2/1p1Pp3/P3P3/2P2N2/1PBN1PPP/R1BQR1K1 b - - 4 13,13
r2qr1k1/2pbbppp/p2p1n2/1pnPp3/P3P3/2P2N2/1PBN1PPP/R1BQR1K1 w - - 5 14,-2
r2qr1k1/2pbbppp/p2p1n2/PpnPp3/4P3/2P2N2/1PBN1PPP/R1BQR1K1 b - - 0 14,10
r2qr1k1/2pbbpp1/p2p1n1p/PpnPp3/4P3/2P2N2/1PBN1PPP/R1BQR1K1 w - - 0 15,77
r2qr1k1/2pbbpp1/p2p1n1p/PpnPp3/1P2P3/2P2N2/2BN1PPP/R1BQR1K1 b - - 0 15,72
r2qr1k1/1npbbpp1/p2p1n1p/Pp1Pp3/1P2P3/2P2N2/2BN1PPP/R1BQR1K1 w - - 1 16,116
r2qr1k1/1npbbpp1/p2p1n1p/Pp1Pp3/1P2P3/2P2N2/1BBN1PPP/R2QR1K1 b - - 2 16,79
r2qr1k1/1npbbp2/p2p1npp/Pp1Pp3/1P2P3/2PB1N2/1B1N1PPP/R2QR1K1 b - - 1 17,98
r2qr1k1/1n1bbp2/p1pp1npp/Pp1Pp3/1P2P3/2PB1N2/1B1N1PPP/R2QR1K1 w - - 0 18,161
r3r1k1/1nqbbp2/2pp1npp/Pp1Pp3/1P2P3/3B1N2/1B1N1PPP/R2QR1K1 w - - 0 20,126
r2nr1k1/2qbbp2/P1pp1npp/1p1Pp3/1P2P3/3B1N2/1B1N1PPP/R2QR1K1 w - - 1 21,38
r2nr1k1/2qbbp2/P1pp1npp/1p1Pp3/1P2P3/3B1N2/1B1NQPPP/R3R1K1 b - - 2 21,-14
r2nr1k1/2qbbp2/P2p1npp/1ppPp3/1P2P3/3B1N2/1B1NQPPP/R3R1K1 w - - 0 22,255
r2nr1k1/2qbbp2/P2p1npp/1ppPp3/1P2P3/3B1N2/1B1NQPPP/R1R3K1 b - - 1 22,232
rq1nr1k1/3bbp2/P4npp/1ppPB3/4P3/3B1N2/3NQPPP/R1R3K1 b - - 0 24,527
r2nr1k1/3bbp2/Pq3npp/1ppPB3/4P3/3B1N2/3NQPPP/R1R3K1 w - - 1 25,516
r2nr1k1/3bbp2/Pq1P1npp/1pp1B3/4P3/3B1N2/3NQPPP/R1R3K1 b - - 0 25,577
3nr1k1/3b1p2/q2b1Bpp/1pp5/4P3/3B1N2/3NQPPP/2R3K1 w - - 0 28,426
3r2k1/3b1p2/q2b2pp/1pp5/4P3/3B1N2/3NQPPP/2R3K1 w - - 0 29,267
3r2k1/3b1p2/q2b2pp/1pp1P3/8/3B1N2/3NQPPP/2R3K1 b - - 0 29,414
3r2k1/3b1p2/3b2pp/1pp1P3/8/q2B1N2/3NQPPP/2R3K1 w - - 1 30,581
3r2k1/3b1p2/3b2pp/1pp1P3/8/q2B1N2/3NQPPP/3R2K1 b - - 2 30,412
4r1k1/5p2/6pp/1bp1N3/8/q7/3NQPPP/3R2K1 w - - 0 33,775
3r2k1/5p2/6pp/1Qp1N3/8/q7/3N1PPP/3R2K1 w - - 1 34,819
3r2k1/5p2/6pp/2p1N3/2Q5/q7/3N1PPP/3R2K1 b - - 2 34,670
r2qr1k1/2pbbpp1/p1np1n1p/1p2p3/P2PP3/1BP2N2/1P1N1PPP/R1BQR1K1 w - - 0 12,36
r2qr1k1/2pbbpp1/p1np1n1p/1p1Pp3/P3P3/1BP2N2/1P1N1PPP/R1BQR1K1 b - - 0 12,18
r2qr1k1/n1pbbpp1/p2p1n1p/1p1Pp3/P3P3/1BP2N2/RP1N1PPP/2BQR1K1 b - - 2 13,11
r2qr1k1/n2bbpp1/3p1n1p/1ppPp3/4P3/1BP2N2/RP1N1PPP/2BQR1K1 w - - 0 15,16
rq2r1k1/n2bbpp1/3p1n1p/2pPp3/2N1P3/1B3N2/RP3PPP/2BQR1K1 w - - 1 17,25
qr4k1/3bbpp1/1Q1p1n1p/2pPp3/2N1P3/R4N2/1P1B1PPP/6K1 b - - 4 23,24
6k1/1r1bbpp1/3p1n1p/2pPp3/2N1P3/R4N2/1P1B1PPP/6K1 w - - 0 25,-32
6k1/r2bbpp1/3p1n1p/2pPp3/2N1P2P/4RN2/1P1B1PP1/6K1 b - - 0 26,-143
6k1/4bpp1/3p1n1p/1bpPp3/2N1P2P/4RN2/1P3PP1/r3B1K1 w - - 3 28,-185
6k1/4bpp1/3p1n1p/1bpPp3/2N1P2P/1P2RN2/5PP1/r3B1K1 b - - 0 28,-209
6k1/4bp2/3p1n1p/1bpPp1p1/2N1P2P/1P2RN2/5PP1/r3B1K1 w - - 0 29,-103
6k1/4bp2/5n2/1bpPN3/4P1p1/1P2R1P1/5P2/r3B1K1 b - - 0 32,-496
6k1/5p2/3b1n2/1bpPN3/4P1p1/1P2R1P1/5P2/r3B1K1 w - - 1 33,-534
1b4k1/5p2/5n2/1bpP4/2N1P1p1/1P2R1P1/5P2/r3B1K1 w - - 3 34,-448
1b4k1/5p2/5n2/1bpP4/2N1P1p1/1P2R1P1/5PK1/r3B3 b - - 4 34,-438
1b6/5pk1/5n2/1bpP4/2N1P1p1/1PB1R1P1/r4P2/6K1 b - - 8 36,-313
1B6/5pk1/5n2/2pP4/4P1p1/1P2R1P1/r3bP2/6K1 w - - 1 39,-496
8/5pk1/5n2/2pPB3/4P1p1/1P2R1P1/r3bP2/6K1 b - - 2 39,-482
8/5p2/5nk1/2pPB3/4P1p1/1P2R1P1/r3bP2/6K1 w - - 3 40,-476
8/5p2/5k2/2pP4/4P1p1/1P2R1P1/r3bP2/6K1 w - - 0 41,-357
8/5p2/3P1k2/2p5/4P1p1/1P2R1P1/r3bP2/6K1 b - - 0 41,-582
8/5p2/3P1k2/2p5/4P1p1/1P2RbP1/5P1K/r7 w - - 3 43,-648
8/5p2/3Pk3/2p1P3/6p1/1P2RbP1/5P1K/r7 w - - 1 44,-718
8/5p2/3Pk3/2p1P3/8/1P3pP1/5P1K/r7 w - - 0 45,-593
8/5p2/3P4/2p1k3/6P1/1P3p2/5P1K/r7 w - - 0 46,-611
8/3P4/6p1/8/4k1K1/5p2/1p3P2/3r4 w - - 0 52,-1030
8/3r4/6p1/6K1/4k3/5p2/5P2/1q6 b - - 1 54,-1086
8/8/3K2p1/8/4k3/5p2/5q2/8 b - - 0 57,-1016
8/4K3/1q4p1/8/4k3/5p2/8/8 b - - 2 58,-1113
r3r1k1/1qpbbppp/p2p1n2/np1Pp3/P3P3/1BP2N2/1P1NQPPP/R1B1R1K1 w - - 1 14,72
r3r1k1/1q1bbppp/p2p1n2/np1Pp3/PP2P3/5N2/2BNQPPP/R1B1R1K1 b - - 0 16,129
r1r3k1/3bbppp/B2p1n2/3Pp3/Pq2P3/5N2/4QPPP/R1B1R1K1 b - - 0 20,28
rr4k1/3bBppp/8/3Pp3/P7/8/5nPP/R3RBK1 b - - 1 25,374
rr4k1/5p1p/5p2/3PR3/b7/7P/6P1/R4BK1 w - - 0 29,29
rr4k1/4Rp1p/5p2/3P4/b7/7P/6P1/R4BK1 b - - 1 29,12
r5k1/4Rp1p/3P1p2/8/8/1b5P/6P1/5BK1 b - - 0 31,13
3r2k1/4Rp1p/3P1p2/8/8/1b5P/6P1/5BK1 w - - 1 32,13
3r2k1/1R3p1p/3P1p2/8/8/1b5P/6P1/5BK1 b - - 2 32,6
3r2k1/1R3p1p/3P1p2/3b4/8/7P/6P1/5BK1 w - - 3 33,24
3r2k1/5p2/1R1Pbp2/1B5p/8/7P/6P1/6K1 w - - 2 35,28
3r2k1/5p2/1R1Pbp2/1B5p/7P/8/6P1/6K1 b - - 0 35,22
4r1k1/5p2/1R1P1p2/7p/6bP/3B4/6P1/6K1 b - - 4 37,24
6k1/5p2/1R1P1p2/7p/6bP/3B4/6PK/4r3 b - - 6 38,0
6k1/5p2/1R1Pbp2/7p/7P/3B2P1/7K/4r3 b - - 0 39,-8
6k1/5p2/1R1Pbp2/7p/7P/3Br1P1/7K/8 w - - 1 40,13
4R3/5pk1/B2Pb3/7p/5P1P/4r3/7K/8 b - - 0 43,0
4R3/5pk1/B2Pb3/7p/5P1r/8/8/6K1 w - - 0 45,107
4R3/3P1pk1/8/3b3p/5P2/8/4BK2/7r b - - 2 47,729
4Q3/5pk1/8/7p/5P2/4K3/4B2r/8 b - - 0 50,670
8/5p2/7k/8/5P1p/4K3/4B2r/1Q6 w - - 6 54,686
8/5pk1/8/8/5P1Q/4KBr1/8/8 b - - 0 58,638
8/6k1/5p2/5P2/7Q/4KB2/8/6r1 w - - 0 60,758
8/6k1/5p2/5P2/4K2Q/5B2/8/6r1 b - - 1 60,584
8/6k1/5p2/5Pr1/4K2Q/5B2/8/8 w - - 2 61,714
6r1/8/5p1k/2Q2P2/4K3/5B2/8/8 w - - 6 63,710
6r1/8/5p1k/2Q2P2/5K2/5B2/8/8 b - - 7 63,661
4r3/8/2B2p1k/2Q2P2/5K2/8/8/8 b - - 9 64,679
2r5/4Q3/5p1k/5P2/4BK2/8/8/8 b - - 13 66,826
6r1/7k/5Q2/5P2/4BK2/8/8/8 w - - 1 68,945
r2qr1k1/2pbbppp/p1np1n2/1p2p3/P2PP3/1BP2N2/1P1N1PPP/R1BQR1K1 b - - 2 11,30
r2qr1k1/2pbbpp1/p1np1n1p/1p2p3/P2PP3/1BP2N2/1P1NQPPP/R1B1R1K1 b - - 1 12,-27
r2qr1k1/2pbbp2/p1np1npp/1p1Pp3/P3P3/1BP2N2/1P1NQPPP/R1B1R1K1 b - - 0 13,53
r2qr1k1/2pbbp2/p2p1npp/np1Pp3/P3P3/2P2N2/1PBNQPPP/R1B1R1K1 b - - 2 14,66
r3r1k1/2pqbp2/3p1npp/n2Pp3/4P3/2P2N2/3NQPPP/1RB1R1K1 b - - 1 19,-8
r3r1k1/3qbp2/2pp1npp/n2Pp3/4P3/2P2N2/3NQPPP/1RB1R1K1 w - - 0 20,4
r3r1k1/1n1qbp2/2pp1npp/3Pp3/2P1P3/5N2/3NQPPP/1RB1R1K1 w - - 1 21,-8
r3r1k1/1n1qbp2/3p1npp/3Pp3/2P5/1N3N2/4QPPP/1RB1R1K1 b - - 0 22,-1
r3rbk1/1n1q1p2/3p1npp/3Pp3/2P5/1N2BN2/4QPPP/1R2R1K1 b - - 2 23,-6
1r4k1/1n1q1pb1/3p1npp/3Pp3/2P5/1N2BN1P/4QPP1/R5K1 b - - 0 26,19
1r4k1/1n3pb1/3p1npp/3P1q2/2PNp3/4B2P/3NQPP1/R5K1 b - - 1 28,364
1r4k1/1n1q1pb1/3p1npp/3P4/2PNp3/4BP1P/3NQ1P1/R5K1 b - - 0 29,106
4r1k1/3q1pb1/3p2pp/3P4/2PNn3/4B2P/2Q3P1/R5K1 w - - 2 33,-34
4r1k1/3q1pb1/3p2pp/3P4/2PNn3/4B2P/2Q3P1/4R1K1 b - - 3 33,-22
4r1k1/3q1p2/3p1bpp/3P4/2PNn1P1/4B2P/2Q5/4R1K1 b - - 0 34,-455
4r1k1/3q1p2/3p1bpp/3P4/2PN2P1/4B2n/8/3QRK2 b - - 1 36,-529
4r1k1/3q1p2/3p2pp/3P4/2PN2Pb/4B2n/8/3QRK2 w - - 2 37,-597
1r4k1/5p2/3p2pp/3P4/2PN2qb/4B2n/Q3R3/5K2 b - - 3 39,-799
1r4k1/5p2/3p2pp/3P4/2PN1nqb/4B3/Q3R3/5K2 w - - 4 40,-766
4r1k1/5p2/3p2pp/3P4/2PB2qb/3Q4/8/5K2 w - - 1 43,-869
4r1k1/5p2/3p2pp/3P4/2P3qb/2BQ4/8/5K2 b - - 2 43,-883
4r1k1/8/3p2pp/B2P1p2/2P3qb/3Q4/8/5K2 b - - 1 44,-1029
4r1k1/8/3p1bpp/B2P1p2/2P3q1/3Q4/8/5K2 w - - 2 45,-886
4r1k1/8/3p2pp/3P1p2/2P3q1/2Q5/8/5K2 b - - 0 46,-982
6k1/8/3p2pp/2qP1p2/8/8/4K3/8 w - - 0 50,-869
6k1/8/3p2pp/2qP4/5p2/3K4/8/8 w - - 0 51,-961
6k1/8/3p2p1/3q3p/5p2/8/8/5K2 b - - 1 53,-889
6k1/8/3p2p1/3q4/5p1p/8/8/5K2 w - - 0 54,-1500
6k1/8/3p2p1/3q4/5p1p/8/8/6K1 b - - 1 54,-1500
1r1q1rk1/2p1bppp/p1np1n2/1p6/P2PP1b1/1B3N2/1P1NQPPP/R1B1R1K1 w - - 3 14,51
1r1q1rk1/2p1bppp/p1np1n2/1p1P4/P3P1b1/1B3N2/1P1NQPPP/R1B1R1K1 b - - 0 14,69
1r1q1rk1/2p1bppp/3p1n2/1p1Pn3/4P1b1/1B3N2/1P1NQPPP/R1B1R1K1 w - - 0 16,59
1r1q1rk1/2p1bppp/3p1n2/1p1Pn2b/4P3/1B3N1P/1P1NQPP1/R1B1R1K1 w - - 1 17,214
q4rk1/2p1bppp/3p1nb1/1p1P4/4P1P1/1B3Q1P/1P1N1P2/2B1R1K1 w - - 0 21,91
q3r1k1/2p1bppp/3p2b1/1pnP2P1/4P3/1B3N1P/1P3PQ1/2B1R1K1 w - - 5 24,-29
q3r1k1/2p1b1pp/3p2b1/1pnP2P1/4P3/5N2/1PB2PQ1/2B1R1K1 b - - 0 26,-2
4r1k1/q1p1b1pp/3p2b1/2nP2P1/1p1NPB2/8/1PB2PQ1/4R1K1 w - - 4 29,144
6k1/1qp1r1pp/3p2b1/2nP2P1/1p2PB2/8/1PB2PQ1/4R1K1 w - - 0 31,49
6k1/1qp1r1pp/3p4/2nP1bP1/4PB2/1p3P2/1P4Q1/1B2R1K1 w - - 2 33,115
6k1/1qpbr1pp/8/2pP2P1/4P3/1p3P2/1P4Q1/1B2R1K1 w - - 0 35,243
6k1/1qpbr1pp/8/3P2P1/2p1P3/1p3P2/1P3KQ1/1B2R3 w - - 0 36,14
6k1/1qpbr2p/6p1/3P2P1/2p1P3/1p3PQ1/1P6/1B2RK2 b - - 1 37,-60
6k1/2pbr2p/6p1/3P2P1/1qp1P3/1p3P2/1P4Q1/1B1R2K1 w - - 10 42,4
6k1/2pbr2p/6p1/3P2P1/2p1P3/1p3P2/1P1R4/1B4K1 b - - 0 43,43
6k1/2p1r2p/6p1/1b1P2P1/2p1P3/1p3P2/1P1R4/1B4K1 w - - 1 44,217
4r1k1/2p4p/6p1/1b1P2P1/2p1P3/1p3P2/1P1R1K2/1B6 w - - 3 45,322
7r/2p3kp/6p1/1b1P2P1/2p1PP2/1p6/1P1R2K1/1B6 w - - 1 47,123
8/2p3k1/4P1pr/1b1P4/2p2P2/1p6/1P1R2K1/1B6 b - - 0 49,13
8/2p3k1/4P1p1/1b1P4/2p2P1r/1p4K1/1P1R4/1B6 b - - 2 50,-21
8/2p5/4Pkp1/1b1P3r/2p1BP2/1p4K1/1P1R4/8 w - - 5 52,34
8/2p5/4Pkp1/1b1P3r/2p1BP2/1p4K1/1P2R3/8 b - - 6 52,-106
8/2p5/4Pkp1/1b1P3r/4BP2/1p2R1K1/1Pp5/8 w - - 0 54,-59
8/2p4r/4Pkp1/1b1P4/5P2/6K1/1PR5/8 b - - 0 56,-214
8/2r5/2P1Pkp1/1b6/5P2/6K1/1PR5/8 w - - 1 58,-39
8/2r5/2b1Pkp1/2R5/5P2/6K1/1P6/8 w - - 0 59,-13
8/2r5/2b1k1p1/2R5/1P3P2/6K1/8/8 w - - 0 60,36
8/2r5/2b1k1p1/1PR5/5P2/6K1/8/8 b - - 0 60,0
8/8/2k3p1/8/5P2/5K2/8/8 b - - 1 63,5
8/8/4k1p1/8/5P2/4K3/8/8 w - - 4 65,0
r2qk2r/2pbbppp/p1np1n2/1p2p3/P3P3/1BP2N2/1P1P1PPP/RNBQR1K1 b kq - 0 9,55
1r1q1rk1/2pbbppp/p1np1n2/8/B2PP3/5N2/1P2QPPP/RNB1R1K1 b - - 0 13,38
5rk1/2pqbppp/R2p1n2/8/3rP3/2N5/1P2QPPP/2B1R1K1 b - - 0 17,3
4r1k1/R1pqbpp1/3p1n1p/8/1r2P3/2N1BP2/1P2Q1PP/4R1K1 b - - 0 20,-88
5bk1/1rpq1pp1/3p1n1p/8/3BP3/2N2P1P/1P2Q1P1/1R4K1 b - - 1 24,-7
5bk1/1rp1qpp1/3p1n1p/8/3BP3/2N2P1P/1P2Q1P1/1R4K1 w - - 2 25,36
5bk1/1rp2pp1/3p1q1p/8/4P3/2N2P1P/1P2Q1P1/1R4K1 w - - 0 26,7
5bk1/1rp2pp1/3p1q1p/8/4P3/2N2P1P/1P2Q1P1/3R2K1 b - - 1 26,-45
1r3bk1/5pp1/3p1q1p/2p5/4P3/2N2PPP/1P4Q1/3R2K1 b - - 2 28,-69
1r3bk1/5p2/3p1qpp/2p5/4P3/2N2PPP/1P1R2Q1/6K1 b - - 1 29,-50
1r3bk1/5p2/3pq1pp/2p5/4P3/2N2PPP/1P1R2Q1/6K1 w - - 2 30,-87
r4bk1/5p2/3pq1pp/2pN4/4P3/5PPP/1P1R2Q1/6K1 w - - 4 31,-28
r4bk1/2N2p2/3pq1pp/2p5/4P3/5PPP/1P1R2Q1/6K1 b - - 5 31,-61
5bk1/2N2p2/3p2pp/2p1q3/4PP2/6PP/1P1R1KQ1/r7 b - - 0 33,-108
5bk1/2N2pq1/3p2pp/2p5/4PP2/1P4PP/3R1KQ1/r7 b - - 0 34,-467
5bk1/2N2p2/3p2pp/2p5/4PP2/1Pq3PP/3R1KQ1/r7 w - - 1 35,-677
5bk1/2N2p2/3p2pp/2p5/4PP2/1q4PP/4RKQ1/r7 w - - 0 36,-471
5bk1/5p2/3p2pp/2pN4/4PP2/1q4PP/4RKQ1/r7 b - - 1 36,-473
5b1k/5p2/3p1Npp/8/2p1PP2/1q4PP/4RKQ1/r7 w - - 2 38,-557
5b1k/5p2/3p2pp/3N4/2p1PP2/1q4PP/4RKQ1/r7 b - - 3 38,-628
5b1k/5p2/3p2pp/3N4/4PP2/1qp3PP/4RKQ1/r7 w - - 0 39,-472
7k/5p2/3p2pp/3N4/3bqP2/6PP/3K4/8 w - - 0 47,-1190
7k/5p2/3p2pp/8/1N1bqP2/6PP/3K4/8 b - - 1 47,-1286
7k/5p2/3p2pp/8/1N1b1P2/6qP/8/3K4 w - - 0 49,-1272
7k/5p2/3p2pp/4b3/5q2/7P/2N5/1K6 w - - 2 52,-1303
7k/5p2/3p2pp/4b3/8/7P/K1Nq4/8 w - - 4 53,-1402
7k/8/3p2pp/4bp2/2K5/7q/8/8 w - - 0 58,-856
